type_array,type_sort,n,time
50-300 step=50 x = 0...5,selectionSort,50,4343
50-300 step=50 x = 0...5,selectionSort,100,15637
50-300 step=50 x = 0...5,selectionSort,150,31802
50-300 step=50 x = 0...5,selectionSort,200,53987
50-300 step=50 x = 0...5,selectionSort,250,82538
50-300 step=50 x = 0...5,selectionSort,300,121899
50-300 step=50 x = 0...4000,selectionSort,50,4046
50-300 step=50 x = 0...4000,selectionSort,100,15840
50-300 step=50 x = 0...4000,selectionSort,150,33011
50-300 step=50 x = 0...4000,selectionSort,200,57557
50-300 step=50 x = 0...4000,selectionSort,250,92061
50-300 step=50 x = 0...4000,selectionSort,300,127117
50-300 step=50 almost (+- 90% sort),selectionSort,50,3833
50-300 step=50 almost (+- 90% sort),selectionSort,100,14042
50-300 step=50 almost (+- 90% sort),selectionSort,150,30349
50-300 step=50 almost (+- 90% sort),selectionSort,200,56234
50-300 step=50 almost (+- 90% sort),selectionSort,250,83612
50-300 step=50 almost (+- 90% sort),selectionSort,300,118949
50-300 step=50 reverse,selectionSort,50,3854
50-300 step=50 reverse,selectionSort,100,14218
50-300 step=50 reverse,selectionSort,150,30073
50-300 step=50 reverse,selectionSort,200,51689
50-300 step=50 reverse,selectionSort,250,79209
50-300 step=50 reverse,selectionSort,300,113849
100-4000 step=100 x = 0...5,selectionSort,100,12097
100-4000 step=100 x = 0...5,selectionSort,200,39300
100-4000 step=100 x = 0...5,selectionSort,300,85711
100-4000 step=100 x = 0...5,selectionSort,400,153017
100-4000 step=100 x = 0...5,selectionSort,500,235215
100-4000 step=100 x = 0...5,selectionSort,600,336723
100-4000 step=100 x = 0...5,selectionSort,700,452999
100-4000 step=100 x = 0...5,selectionSort,800,600886
100-4000 step=100 x = 0...5,selectionSort,900,747516
100-4000 step=100 x = 0...5,selectionSort,1000,919905
100-4000 step=100 x = 0...5,selectionSort,1100,1112925
100-4000 step=100 x = 0...5,selectionSort,1200,1321718
100-4000 step=100 x = 0...5,selectionSort,1300,1543670
100-4000 step=100 x = 0...5,selectionSort,1400,1799620
100-4000 step=100 x = 0...5,selectionSort,1500,2054499
100-4000 step=100 x = 0...5,selectionSort,1600,2331383
100-4000 step=100 x = 0...5,selectionSort,1700,2635277
100-4000 step=100 x = 0...5,selectionSort,1800,3202407
100-4000 step=100 x = 0...5,selectionSort,1900,3286919
100-4000 step=100 x = 0...5,selectionSort,2000,3705178
100-4000 step=100 x = 0...5,selectionSort,2100,4005132
100-4000 step=100 x = 0...5,selectionSort,2200,4410388
100-4000 step=100 x = 0...5,selectionSort,2300,4821693
100-4000 step=100 x = 0...5,selectionSort,2400,5321776
100-4000 step=100 x = 0...5,selectionSort,2500,5742806
100-4000 step=100 x = 0...5,selectionSort,2600,6199746
100-4000 step=100 x = 0...5,selectionSort,2700,6658083
100-4000 step=100 x = 0...5,selectionSort,2800,7164787
100-4000 step=100 x = 0...5,selectionSort,2900,7734022
100-4000 step=100 x = 0...5,selectionSort,3000,8227348
100-4000 step=100 x = 0...5,selectionSort,3100,8739712
100-4000 step=100 x = 0...5,selectionSort,3200,9354586
100-4000 step=100 x = 0...5,selectionSort,3300,9940636
100-4000 step=100 x = 0...5,selectionSort,3400,10737023
100-4000 step=100 x = 0...5,selectionSort,3500,11180311
100-4000 step=100 x = 0...5,selectionSort,3600,11824686
